codelist_name,urn,notation,label,description
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).I56,N/A,N/A,Food and beverage service activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).ITU,N/A,N/A,"Services (except wholesale and retail trade, transportation and storage)"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J,N/A,N/A,Information and communication
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J_M_N_RTU,N/A,N/A,"Information, communication, professional, business and other services"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J58,N/A,N/A,Publishing activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J58_62_63,N/A,N/A,"Publishing, computer programming and consultancy, information service activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J58T60,N/A,N/A,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J59,N/A,N/A,"Motion picture, video and television programme production, sound recording and music publishing activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J59_60,N/A,N/A,"Motion picture, video, television programme production; programming and broadcasting activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J60,N/A,N/A,Programming and broadcasting activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J61,N/A,N/A,Telecommunications
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).J62,N/A,N/A,"Computer programming, consultancy and related activities"
